hidden_size	num_epochs	reg	batch_size	momentum	learning_rate_decay	learning_rate	best_train	best_val
100.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.542	0.49
100.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.542	0.49
100.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.542	0.49
100.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.519	0.493
75.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.515	0.4920000000000001
75.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.499	0.486
75.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.498	0.489
125.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.522	0.4920000000000001
125.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.529	0.496
125.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.524	0.4970000000000001
50.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.516	0.489
50.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.508	0.48100000000000004
50.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.504	0.486
175.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.556	0.496
175.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.526	0.491
175.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.518	0.4920000000000001
150.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.53	0.494
150.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.526	0.503
150.0	8.0	1.2	200.0	0.9	0.95	8e-05	0.552	0.4920000000000001
150.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.509	0.485
150.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.493	0.474
150.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.509	0.474
150.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.542	0.51
150.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.581	0.489
150.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.523	0.512
150.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.555	0.514
150.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.545	0.507
150.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.536	0.5
150.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.563	0.512
150.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.5529999999999999	0.517
150.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.565	0.506
150.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.555	0.523
150.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.545	0.526
150.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.5579999999999999	0.508
150.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.5670000000000001	0.506
150.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.5589999999999999	0.499
150.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.535	0.51
150.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.531	0.518
150.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.5670000000000001	0.503
150.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.546	0.508
150.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.537	0.522
150.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.5720000000000001	0.517
100.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.522	0.512
150.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.584	0.515
100.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.541	0.493
100.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.545	0.502
100.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.539	0.511
100.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.557	0.502
100.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.55	0.513
100.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.5489999999999999	0.506
100.0	8.0	0.05	200.0	0.9	0.95	8e-05	0.5379999999999999	0.496
100.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.562	0.508
100.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.51	0.483
100.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.523	0.517
100.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.509	0.485
100.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.519	0.513
100.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.5489999999999999	0.495
100.0	8.0	2.0	200.0	0.9	0.95	8e-05	0.491	0.483
100.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.516	0.502
100.0	8.0	0.75	200.0	0.9	0.95	8e-05	0.521	0.503
100.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.545	0.491
100.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.5489999999999999	0.507
100.0	8.0	0.2	200.0	0.9	0.95	8e-05	0.534	0.488
100.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.542	0.499
100.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.508	0.484
100.0	8.0	0.25	200.0	0.9	0.95	8e-05	0.523	0.502
100.0	8.0	0.5	200.0	0.9	0.95	8e-05	0.546	0.4970000000000001
125.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.552	0.505
175.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.5660000000000001	0.51
125.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.5479999999999999	0.517
175.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.539	0.509
125.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.545	0.508
175.0	8.0	0.1	200.0	0.9	0.95	8e-05	0.5770000000000001	0.5
200.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.565	0.521
175.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.561	0.511
175.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.563	0.526
200.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.569	0.514
175.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.5489999999999999	0.522
200.0	8.0	0.15	200.0	0.9	0.95	8e-05	0.5479999999999999	0.506
150.0	30.0	0.1	200.0	0.9	0.95	8e-05	0.701	0.5429999999999999
150.0	30.0	0.1	200.0	0.9	0.95	8e-05	0.715	0.544
150.0	30.0	0.1	200.0	0.9	0.95	8e-05	0.706	0.544
150.0	30.0	0.1	400.0	0.9	0.95	8e-05	0.594	0.531
